Equipo_Local;Equipo_Visitante;Goles_Equipo_Local;Goles_Equipo_Visitante;Temporada;Fecha
Granada;Osasuna;0;2;2021/2022;23/01/2022
Real Madrid;Elche;2;2;2021/2022;23/01/2022
Rayo;Athletic;0;1;2021/2022;23/01/2022
R. Sociedad;Getafe;0;0;2021/2022;23/01/2022
Alavés;Barcelona;0;1;2021/2022;23/01/2022
Getafe;Levante;3;0;2021/2022;04/02/2022
Elche;Alavés;3;1;2021/2022;05/02/2022
Mallorca;Cádiz;2;1;2021/2022;05/02/2022
Celta;Rayo;2;0;2021/2022;05/02/2022
Osasuna;Sevilla;0;0;2021/2022;05/02/2022
Valencia;R. Sociedad;0;0;2021/2022;06/02/2022
Barcelona;Atlético;4;2;2021/2022;06/02/2022
Betis;Villarreal;0;2;2021/2022;06/02/2022
Real Madrid;Granada;1;0;2021/2022;06/02/2022
Athletic;Espanyol;2;1;2021/2022;07/02/2022
Sevilla;Elche;2;0;2021/2022;11/02/2022
Cádiz;Celta;0;0;2021/2022;12/02/2022
Villarreal;Real Madrid;0;0;2021/2022;12/02/2022
Rayo;Osasuna;0;3;2021/2022;12/02/2022
Atlético;Getafe;4;3;2021/2022;12/02/2022
Alavés;Valencia;2;1;2021/2022;13/02/2022
Levante;Betis;2;4;2021/2022;13/02/2022
R. Sociedad;Granada;2;0;2021/2022;13/02/2022
Espanyol;Barcelona;2;2;2021/2022;13/02/2022
Mallorca;Athletic;3;2;2021/2022;14/02/2022
Elche;Rayo;2;1;2021/2022;18/02/2022
Granada;Villarreal;1;4;2021/2022;19/02/2022
Osasuna;Atlético;0;3;2021/2022;19/02/2022
Cádiz;Getafe;1;1;2021/2022;19/02/2022
Real Madrid;Alavés;3;0;2021/2022;19/02/2022
Espanyol;Sevilla;1;1;2021/2022;20/02/2022
Valencia;Barcelona;1;4;2021/2022;20/02/2022
Betis;Mallorca;2;1;2021/2022;20/02/2022
Athletic;R. Sociedad;4;0;2021/2022;20/02/2022
Celta;Levante;1;1;2021/2022;21/02/2022
Levante;Elche;3;0;2021/2022;25/02/2022
Mallorca;Valencia;0;1;2021/2022;26/02/2022
Getafe;Alavés;2;2;2021/2022;26/02/2022
Rayo;Real Madrid;0;1;2021/2022;26/02/2022
Atlético;Celta;2;0;2021/2022;26/02/2022
Villarreal;Espanyol;5;1;2021/2022;27/02/2022
Sevilla;Betis;2;1;2021/2022;27/02/2022
R. Sociedad;Osasuna;1;0;2021/2022;27/02/2022
Barcelona;Athletic;4;0;2021/2022;27/02/2022
Granada;Cádiz;0;0;2021/2022;28/02/2022
Alavés;Sevilla;0;0;2021/2022;04/03/2022
Osasuna;Villarreal;1;0;2021/2022;05/03/2022
Espanyol;Getafe;2;0;2021/2022;05/03/2022
Valencia;Granada;3;1;2021/2022;05/03/2022
Real Madrid;R. Sociedad;4;1;2021/2022;05/03/2022
Cádiz;Rayo;2;0;2021/2022;06/03/2022
Elche;Barcelona;1;2;2021/2022;06/03/2022
Celta;Mallorca;4;3;2021/2022;06/03/2022
Betis;Atlético;1;3;2021/2022;06/03/2022
Athletic;Levante;3;1;2021/2022;07/03/2022
Atlético;Cádiz;2;1;2021/2022;11/03/2022
Levante;Espanyol;1;1;2021/2022;12/03/2022
Granada;Elche;0;1;2021/2022;12/03/2022
Villarreal;Celta;1;0;2021/2022;12/03/2022
Getafe;Valencia;0;0;2021/2022;12/03/2022
Rayo;Sevilla;1;1;2021/2022;13/03/2022
Betis;Athletic;1;0;2021/2022;13/03/2022
R. Sociedad;Alavés;1;0;2021/2022;13/03/2022
Barcelona;Osasuna;4;0;2021/2022;13/03/2022
Mallorca;Real Madrid;0;3;2021/2022;14/03/2022
Athletic;Getafe;1;1;2021/2022;18/03/2022
Alavés;Granada;2;3;2021/2022;19/03/2022
Elche;Valencia;0;1;2021/2022;19/03/2022
Osasuna;Levante;3;1;2021/2022;19/03/2022
Rayo;Atlético;0;1;2021/2022;19/03/2022
Espanyol;Mallorca;1;0;2021/2022;20/03/2022
Celta;Betis;0;0;2021/2022;20/03/2022
Cádiz;Villarreal;1;0;2021/2022;20/03/2022
Sevilla;R. Sociedad;0;0;2021/2022;20/03/2022
Real Madrid;Barcelona;0;4;2021/2022;20/03/2022
Getafe;Mallorca;1;0;2021/2022;02/04/2022
Levante;Villarreal;2;0;2021/2022;02/04/2022
Celta;Real Madrid;1;2;2021/2022;02/04/2022
Atlético;Alavés;4;1;2021/2022;02/04/2022
Athletic;Elche;2;1;2021/2022;03/04/2022
Betis;Osasuna;4;1;2021/2022;03/04/2022
Granada;Rayo;2;2;2021/2022;03/04/2022
Valencia;Cádiz;0;0;2021/2022;03/04/2022
Barcelona;Sevilla;1;0;2021/2022;03/04/2022
R. Sociedad;Espanyol;1;0;2021/2022;04/04/2022
Sevilla;Granada;4;2;2021/2022;08/04/2022
Cádiz;Betis;1;2;2021/2022;09/04/2022
Mallorca;Atlético;1;0;2021/2022;09/04/2022
Villarreal;Athletic;1;1;2021/2022;09/04/2022
Real Madrid;Getafe;2;0;2021/2022;09/04/2022
Osasuna;Alavés;1;0;2021/2022;10/04/2022
Espanyol;Celta;1;0;2021/2022;10/04/2022
Elche;R. Sociedad;1;2;2021/2022;10/04/2022
Levante;Barcelona;2;3;2021/2022;10/04/2022
Rayo;Valencia;1;1;2021/2022;11/04/2022
R. Sociedad;Betis;0;0;2021/2022;15/04/2022
Elche;Mallorca;3;0;2021/2022;16/04/2022
Alavés;Rayo;1;0;2021/2022;16/04/2022
Valencia;Osasuna;1;2;2021/2022;16/04/2022
Getafe;Villarreal;1;2;2021/2022;16/04/2022
Granada;Levante;1;4;2021/2022;17/04/2022
Atlético;Espanyol;2;1;2021/2022;17/04/2022
Athletic;Celta;0;2;2021/2022;17/04/2022
Sevilla;Real Madrid;2;3;2021/2022;17/04/2022
Barcelona;Cádiz;0;1;2021/2022;18/04/2022
Mallorca;Alavés;2;1;2021/2022;19/04/2022
Betis;Elche;0;1;2021/2022;19/04/2022
Villarreal;Valencia;2;0;2021/2022;19/04/2022
Atlético;Granada;0;0;2021/2022;20/04/2022
Celta;Getafe;0;2;2021/2022;20/04/2022
Osasuna;Real Madrid;1;3;2021/2022;20/04/2022
Espanyol;Rayo;0;1;2021/2022;21/04/2022
Levante;Sevilla;2;3;2021/2022;21/04/2022
Cádiz;Athletic;2;3;2021/2022;21/04/2022
R. Sociedad;Barcelona;0;1;2021/2022;21/04/2022
Sevilla;Cádiz;1;1;2021/2022;29/04/2022
Alavés;Villarreal;2;1;2021/2022;30/04/2022
Real Madrid;Espanyol;4;0;2021/2022;30/04/2022
Valencia;Levante;1;1;2021/2022;30/04/2022
Athletic;Atlético;2;0;2021/2022;30/04/2022
Elche;Osasuna;1;1;2021/2022;01/05/2022
Granada;Celta;1;1;2021/2022;01/05/2022
Rayo;R. Sociedad;1;1;2021/2022;01/05/2022
Barcelona;Mallorca;2;1;2021/2022;01/05/2022
Getafe;Betis;0;0;2021/2022;02/05/2022
Levante;R. Sociedad;2;1;2021/2022;06/05/2022
Mallorca;Granada;2;6;2021/2022;07/05/2022
Athletic;Valencia;0;0;2021/2022;07/05/2022
Celta;Alavés;4;0;2021/2022;07/05/2022
Cádiz;Elche;3;0;2021/2022;07/05/2022
Betis;Barcelona;1;2;2021/2022;07/05/2022
Getafe;Rayo;0;0;2021/2022;08/05/2022
Villarreal;Sevilla;1;1;2021/2022;08/05/2022
Espanyol;Osasuna;1;1;2021/2022;08/05/2022
Atlético;Real Madrid;1;0;2021/2022;08/05/2022
Valencia;Betis;0;3;2021/2022;10/05/2022
Granada;Athletic;1;0;2021/2022;10/05/2022
Barcelona;Celta;3;1;2021/2022;10/05/2022
Alavés;Espanyol;2;1;2021/2022;11/05/2022
Osasuna;Getafe;1;1;2021/2022;11/05/2022
Sevilla;Mallorca;0;0;2021/2022;11/05/2022
Elche;Atlético;0;2;2021/2022;11/05/2022
R. Sociedad;Cádiz;3;0;2021/2022;12/05/2022
Rayo;Villarreal;1;5;2021/2022;12/05/2022
Real Madrid;Levante;6;0;2021/2022;12/05/2022
Espanyol;Valencia;1;1;2021/2022;14/05/2022
Athletic;Osasuna;2;0;2021/2022;15/05/2022
Atlético;Sevilla;1;1;2021/2022;15/05/2022
Celta;Elche;1;0;2021/2022;15/05/2022
Cádiz;Real Madrid;1;1;2021/2022;15/05/2022
Getafe;Barcelona;0;0;2021/2022;15/05/2022
Levante;Alavés;3;1;2021/2022;15/05/2022
Mallorca;Rayo;2;1;2021/2022;15/05/2022
Betis;Granada;2;0;2021/2022;15/05/2022
Villarreal;R. Sociedad;1;2;2021/2022;15/05/2022
Rayo;Levante;2;4;2021/2022;20/05/2022
Real Madrid;Betis;0;0;2021/2022;20/05/2022
Valencia;Celta;2;0;2021/2022;21/05/2022
Elche;Getafe;3;1;2021/2022;22/05/2022
Alavés;Cádiz;0;1;2021/2022;22/05/2022
Granada;Espanyol;0;0;2021/2022;22/05/2022
Osasuna;Mallorca;0;2;2021/2022;22/05/2022
Barcelona;Villarreal;0;2;2021/2022;22/05/2022
R. Sociedad;Atlético;1;2;2021/2022;22/05/2022
Sevilla;Athletic;1;0;2021/2022;22/05/2022
